Job Title,Required Skills,Category
Web Developer,"REST APIs, HTML, JavaScript, CSS, React, Vue.js, Bootstrap, Git, Web Performance Optimization, Node.js",Software Development
UX/UI Designer,"Color Theory, User Research, Prototyping, Wireframing, Design Thinking, Usability Testing, Sketch, Figma, Typography, Adobe XD",Design & UX
UX/UI Designer,"Prototyping, Adobe XD, Usability Testing, Sketch, User Research, Typography, Color Theory, Design Thinking, Figma, Wireframing",Design & UX
UX/UI Designer,"Prototyping, Usability Testing, Color Theory, Wireframing, Adobe XD, Sketch, User Research, Design Thinking, Figma, Typography",Design & UX
UX/UI Designer,"Prototyping, Color Theory, Typography, Design Thinking, Wireframing, Usability Testing, Sketch, User Research, Figma, Adobe XD",Design & UX
UX/UI Designer,"Color Theory, Sketch, Design Thinking, User Research, Wireframing, Prototyping, Typography, Figma, Usability Testing, Adobe XD",Design & UX
UX/UI Designer,"Typography, Adobe XD, Color Theory, Figma, Wireframing, Design Thinking, User Research, Usability Testing, Prototyping, Sketch",Design & UX
UX/UI Designer,"Sketch, Design Thinking, Wireframing, Typography, Prototyping, Adobe XD, Usability Testing, User Research, Figma, Color Theory",Design & UX
UX/UI Designer,"Color Theory, Wireframing, Figma, Design Thinking, Sketch, Typography, Adobe XD, Usability Testing, Prototyping, User Research",Design & UX
UX/UI Designer,"Prototyping, Sketch, Figma, Typography, Color Theory, Usability Testing, User Research, Adobe XD, Design Thinking, Wireframing",Design & UX
UX/UI Designer,"User Research, Color Theory, Typography, Sketch, Wireframing, Usability Testing, Design Thinking, Adobe XD, Prototyping, Figma",Design & UX
Cybersecurity Analyst,"IDS/IPS, Cryptography, Ethical Hacking, Firewalls, Network Security, Security Compliance, Incident Response, Penetration Testing, Risk Management, SIEM",Cybersecurity
Cloud Engineer,"Kubernetes, CI/CD, Serverless Computing, Docker, AWS, Terraform, Cloud Security, Networking, Google Cloud Platform, Azure",IT & Cloud Computing
Cloud Engineer,"CI/CD, Networking, Azure, Docker, Kubernetes, Cloud Security, Terraform, AWS, Google Cloud Platform, Serverless Computing",IT & Cloud Computing
Cloud Engineer,"Terraform, AWS, CI/CD, Docker, Serverless Computing, Google Cloud Platform, Cloud Security, Azure, Kubernetes, Networking",IT & Cloud Computing
Cloud Engineer,"Google Cloud Platform, Terraform, Docker, Serverless Computing, Azure, AWS, Networking, Cloud Security, Kubernetes, CI/CD",IT & Cloud Computing
Cloud Engineer,"Kubernetes, AWS, Cloud Security, Docker, Serverless Computing, Terraform, Google Cloud Platform, Azure, Networking, CI/CD",IT & Cloud Computing
Cloud Engineer,"Terraform, Docker, AWS, Cloud Security, CI/CD, Networking, Google Cloud Platform, Serverless Computing, Kubernetes, Azure",IT & Cloud Computing
Cloud Engineer,"AWS, Kubernetes, CI/CD, Cloud Security, Google Cloud Platform, Serverless Computing, Docker, Azure, Networking, Terraform",IT & Cloud Computing
Database Administrator,"MySQL, Data Warehousing, Indexing, NoSQL, Database Optimization, Query Optimization, Oracle DB, SQL, PostgreSQL, Backup & Recovery, MongoDB",Other
Database Administrator,"Backup & Recovery, Indexing, Data Warehousing, MySQL, Query Optimization, Database Optimization, PostgreSQL, Oracle DB, MongoDB, SQL, NoSQL",Other
Database Administrator,"Database Optimization, Query Optimization, Oracle DB, Data Warehousing, MySQL, PostgreSQL, NoSQL, Indexing, Backup & Recovery, SQL, MongoDB",Other
Database Administrator,"NoSQL, Backup & Recovery, Indexing, SQL, Oracle DB, Data Warehousing, Database Optimization, MongoDB, MySQL, PostgreSQL, Query Optimization",Other
Database Administrator,"Oracle DB, SQL, Database Optimization, PostgreSQL, MySQL, MongoDB, Query Optimization, Data Warehousing, Backup & Recovery, Indexing, NoSQL",Other
Database Administrator,"PostgreSQL, Data Warehousing, Backup & Recovery, Indexing, MongoDB, NoSQL, MySQL, Oracle DB, SQL, Query Optimization, Database Optimization",Other
Database Administrator,"Database Optimization, MySQL, SQL, Oracle DB, PostgreSQL, NoSQL, MongoDB, Query Optimization, Data Warehousing, Backup & Recovery, Indexing",Other
Database Administrator,"Data Warehousing, MongoDB, PostgreSQL, SQL, Oracle DB, Backup & Recovery, Indexing, MySQL, NoSQL, Database Optimization, Query Optimization",Other
Database Administrator,"PostgreSQL, Data Warehousing, Indexing, Backup & Recovery, Oracle DB, Database Optimization, NoSQL, MySQL, MongoDB, SQL, Query Optimization",Other
Network Engineer,"Routing & Switching, Cisco, BGP, DNS, VoIP, Network Configuration, Firewalls, Load Balancing, VLANs, SD-WAN, TCP/IP",Other
Network Engineer,"Cisco, Firewalls, Routing & Switching, DNS, VLANs, Load Balancing, VoIP, BGP, Network Configuration, TCP/IP, SD-WAN",Other
Network Engineer,"TCP/IP, Network Configuration, DNS, SD-WAN, VLANs, Cisco, Load Balancing, Routing & Switching, Firewalls, VoIP, BGP",Other
Network Engineer,"TCP/IP, VoIP, Routing & Switching, VLANs, Cisco, BGP, Firewalls, DNS, Network Configuration, Load Balancing, SD-WAN",Other
Network Engineer,"SD-WAN, Routing & Switching, VoIP, Network Configuration, BGP, TCP/IP, VLANs, Cisco, Load Balancing, Firewalls, DNS",Other
DevOps Engineer,"Cloud Services, Docker, Linux Administration, Terraform, Kubernetes, Monitoring & Logging, Jenkins, Ansible, Shell Scripting, CI/CD",IT & Cloud Computing
DevOps Engineer,"Monitoring & Logging, Docker, Jenkins, Shell Scripting, Linux Administration, CI/CD, Kubernetes, Cloud Services, Terraform, Ansible",IT & Cloud Computing
DevOps Engineer,"Jenkins, Terraform, CI/CD, Shell Scripting, Cloud Services, Monitoring & Logging, Docker, Linux Administration, Ansible, Kubernetes",IT & Cloud Computing
DevOps Engineer,"Linux Administration, Cloud Services, Monitoring & Logging, Terraform, CI/CD, Jenkins, Docker, Kubernetes, Shell Scripting, Ansible",IT & Cloud Computing
DevOps Engineer,"Jenkins, Docker, Kubernetes, Cloud Services, Terraform, Ansible, CI/CD, Monitoring & Logging, Linux Administration, Shell Scripting",IT & Cloud Computing
DevOps Engineer,"Monitoring & Logging, Docker, Jenkins, Terraform, Cloud Services, Ansible, Kubernetes, Linux Administration, CI/CD, Shell Scripting",IT & Cloud Computing
DevOps Engineer,"Terraform, Jenkins, Cloud Services, Kubernetes, CI/CD, Shell Scripting, Monitoring & Logging, Docker, Linux Administration, Ansible",IT & Cloud Computing
DevOps Engineer,"Docker, Cloud Services, CI/CD, Terraform, Monitoring & Logging, Linux Administration, Kubernetes, Shell Scripting, Jenkins, Ansible",IT & Cloud Computing
DevOps Engineer,"CI/CD, Shell Scripting, Terraform, Jenkins, Cloud Services, Kubernetes, Ansible, Monitoring & Logging, Docker, Linux Administration",IT & Cloud Computing
Blockchain Developer,"Tokenomics, Distributed Systems, Smart Contracts, Security Audits, Solidity, Hyperledger, Consensus Algorithms, Web3.js, Ethereum, Cryptography",Other
Blockchain Developer,"Hyperledger, Web3.js, Tokenomics, Security Audits, Cryptography, Solidity, Smart Contracts, Consensus Algorithms, Distributed Systems, Ethereum",Other
Blockchain Developer,"Distributed Systems, Security Audits, Solidity, Consensus Algorithms, Tokenomics, Cryptography, Hyperledger, Web3.js, Smart Contracts, Ethereum",Other
Blockchain Developer,"Tokenomics, Solidity, Consensus Algorithms, Ethereum, Web3.js, Cryptography, Smart Contracts, Security Audits, Hyperledger, Distributed Systems",Other
Blockchain Developer,"Solidity, Web3.js, Ethereum, Cryptography, Tokenomics, Smart Contracts, Hyperledger, Security Audits, Distributed Systems, Consensus Algorithms",Other
Blockchain Developer,"Consensus Algorithms, Ethereum, Solidity, Web3.js, Tokenomics, Hyperledger, Smart Contracts, Distributed Systems, Security Audits, Cryptography",Other
Machine Learning Engineer,"PyTorch, Deep Learning, Reinforcement Learning, Feature Engineering, TensorFlow, NLP, Scikit-learn, Computer Vision, Data Preprocessing, Model Optimization",Data Science & AI
Machine Learning Engineer,"TensorFlow, Feature Engineering, Computer Vision, Deep Learning, PyTorch, Reinforcement Learning, Model Optimization, Data Preprocessing, NLP, Scikit-learn",Data Science & AI
Machine Learning Engineer,"Scikit-learn, Data Preprocessing, Deep Learning, PyTorch, TensorFlow, Reinforcement Learning, Model Optimization, Feature Engineering, NLP, Computer Vision",Data Science & AI
Machine Learning Engineer,"Feature Engineering, NLP, Deep Learning, Model Optimization, Scikit-learn, Data Preprocessing, Reinforcement Learning, PyTorch, TensorFlow, Computer Vision",Data Science & AI
Machine Learning Engineer,"Reinforcement Learning, Data Preprocessing, PyTorch, Deep Learning, Computer Vision, NLP, TensorFlow, Model Optimization, Scikit-learn, Feature Engineering",Data Science & AI
Machine Learning Engineer,"Data Preprocessing, Scikit-learn, Model Optimization, Computer Vision, Feature Engineering, Deep Learning, Reinforcement Learning, TensorFlow, PyTorch, NLP",Data Science & AI
Artificial Intelligence Engineer,"AI Ethics, Cloud AI, TensorFlow, Speech Recognition, GANs, NLP, Reinforcement Learning, Computer Vision, Deep Learning, Python",Other
Artificial Intelligence Engineer,"Computer Vision, TensorFlow, Cloud AI, Reinforcement Learning, GANs, AI Ethics, Python, NLP, Deep Learning, Speech Recognition",Other
Artificial Intelligence Engineer,"Computer Vision, TensorFlow, Speech Recognition, Deep Learning, Python, Reinforcement Learning, Cloud AI, NLP, GANs, AI Ethics",Other
Artificial Intelligence Engineer,"Computer Vision, Cloud AI, TensorFlow, AI Ethics, NLP, Deep Learning, Python, Speech Recognition, GANs, Reinforcement Learning",Other
Artificial Intelligence Engineer,"TensorFlow, Reinforcement Learning, Python, GANs, AI Ethics, Computer Vision, Deep Learning, Speech Recognition, Cloud AI, NLP",Other
Artificial Intelligence Engineer,"Deep Learning, Reinforcement Learning, Computer Vision, NLP, Cloud AI, Python, AI Ethics, TensorFlow, GANs, Speech Recognition",Other
Artificial Intelligence Engineer,"NLP, Cloud AI, Computer Vision, Deep Learning, Speech Recognition, TensorFlow, AI Ethics, GANs, Reinforcement Learning, Python",Other
Artificial Intelligence Engineer,"TensorFlow, Reinforcement Learning, Cloud AI, AI Ethics, Computer Vision, Deep Learning, GANs, Speech Recognition, Python, NLP",Other
Business Analyst,"Tableau, Requirements Gathering, Power BI, Market Research, Data Analysis, Process Improvement, SQL, Stakeholder Communication, Business Intelligence, Excel",Finance & Business
Business Analyst,"Market Research, Process Improvement, Excel, Business Intelligence, Data Analysis, Power BI, Stakeholder Communication, Tableau, SQL, Requirements Gathering",Finance & Business
Business Analyst,"Power BI, Stakeholder Communication, SQL, Market Research, Requirements Gathering, Data Analysis, Process Improvement, Tableau, Excel, Business Intelligence",Finance & Business
Business Analyst,"SQL, Requirements Gathering, Stakeholder Communication, Excel, Power BI, Process Improvement, Market Research, Data Analysis, Business Intelligence, Tableau",Finance & Business
Business Analyst,"Business Intelligence, Tableau, Power BI, Excel, Process Improvement, Stakeholder Communication, SQL, Market Research, Data Analysis, Requirements Gathering",Finance & Business
Business Analyst,"Requirements Gathering, Tableau, Data Analysis, Power BI, Process Improvement, SQL, Stakeholder Communication, Excel, Market Research, Business Intelligence",Finance & Business
Business Analyst,"Excel, Market Research, Tableau, Power BI, Requirements Gathering, Stakeholder Communication, Business Intelligence, Process Improvement, Data Analysis, SQL",Finance & Business
Business Analyst,"Tableau, Process Improvement, Stakeholder Communication, SQL, Market Research, Business Intelligence, Requirements Gathering, Excel, Power BI, Data Analysis",Finance & Business
Business Analyst,"Power BI, Stakeholder Communication, Market Research, SQL, Tableau, Process Improvement, Data Analysis, Business Intelligence, Excel, Requirements Gathering",Finance & Business
Business Analyst,"Excel, Market Research, Stakeholder Communication, Requirements Gathering, Power BI, Tableau, SQL, Data Analysis, Process Improvement, Business Intelligence",Finance & Business
Product Manager,"Customer Feedback Analysis, Agile, Scrum, Roadmapping, UX/UI Understanding, Market Research, MVP Development, Competitive Analysis, Data-Driven Decision Making, Product Lifecycle",Other
Product Manager,"MVP Development, Competitive Analysis, UX/UI Understanding, Market Research, Roadmapping, Customer Feedback Analysis, Agile, Scrum, Product Lifecycle, Data-Driven Decision Making",Other
Product Manager,"Agile, Data-Driven Decision Making, Market Research, Product Lifecycle, UX/UI Understanding, Competitive Analysis, Roadmapping, Customer Feedback Analysis, MVP Development, Scrum",Other
Product Manager,"Competitive Analysis, Customer Feedback Analysis, UX/UI Understanding, Scrum, Market Research, Data-Driven Decision Making, Agile, Product Lifecycle, MVP Development, Roadmapping",Other
Product Manager,"Data-Driven Decision Making, Market Research, UX/UI Understanding, Scrum, Roadmapping, Customer Feedback Analysis, Competitive Analysis, MVP Development, Agile, Product Lifecycle",Other
Product Manager,"Scrum, UX/UI Understanding, Agile, Data-Driven Decision Making, MVP Development, Customer Feedback Analysis, Competitive Analysis, Roadmapping, Market Research, Product Lifecycle",Other
Product Manager,"Data-Driven Decision Making, Customer Feedback Analysis, Roadmapping, Agile, Market Research, Product Lifecycle, UX/UI Understanding, Scrum, MVP Development, Competitive Analysis",Other
Product Manager,"Customer Feedback Analysis, Market Research, Roadmapping, UX/UI Understanding, Scrum, Product Lifecycle, Agile, MVP Development, Data-Driven Decision Making, Competitive Analysis",Other
Product Manager,"Competitive Analysis, Agile, Product Lifecycle, UX/UI Understanding, Scrum, Data-Driven Decision Making, Market Research, Customer Feedback Analysis, MVP Development, Roadmapping",Other
Product Manager,"Scrum, Data-Driven Decision Making, UX/UI Understanding, Roadmapping, Market Research, Customer Feedback Analysis, MVP Development, Competitive Analysis, Agile, Product Lifecycle",Other
IT Support Specialist,"Troubleshooting, ITIL, Ticketing Systems, Network Configuration, Security Awareness, Linux, Remote Assistance, Windows, Software Installation, Hardware Repair, Customer Support",IT & Cloud Computing
IT Support Specialist,"Network Configuration, Windows, Linux, Hardware Repair, Ticketing Systems, Customer Support, Security Awareness, Software Installation, ITIL, Remote Assistance, Troubleshooting",IT & Cloud Computing
IT Support Specialist,"Troubleshooting, Remote Assistance, Windows, Software Installation, Hardware Repair, Linux, Security Awareness, Network Configuration, Ticketing Systems, Customer Support, ITIL",IT & Cloud Computing
IT Support Specialist,"ITIL, Network Configuration, Remote Assistance, Troubleshooting, Ticketing Systems, Customer Support, Hardware Repair, Windows, Linux, Software Installation, Security Awareness",IT & Cloud Computing
IT Support Specialist,"Troubleshooting, Network Configuration, Customer Support, ITIL, Linux, Windows, Hardware Repair, Ticketing Systems, Remote Assistance, Security Awareness, Software Installation",IT & Cloud Computing
IT Support Specialist,"ITIL, Security Awareness, Network Configuration, Windows, Ticketing Systems, Customer Support, Hardware Repair, Troubleshooting, Linux, Software Installation, Remote Assistance",IT & Cloud Computing
IT Support Specialist,"Customer Support, Linux, Network Configuration, Software Installation, Hardware Repair, Windows, Security Awareness, Remote Assistance, ITIL, Ticketing Systems, Troubleshooting",IT & Cloud Computing
IT Support Specialist,"Network Configuration, Hardware Repair, Ticketing Systems, Security Awareness, Remote Assistance, Software Installation, Troubleshooting, ITIL, Customer Support, Windows, Linux",IT & Cloud Computing
Digital Marketing Manager,"SEO, Google Analytics, Brand Strategy, Conversion Optimization, Copywriting, SEM, PPC, Email Marketing, Social Media Management, Content Marketing, Google Ads",Other
Digital Marketing Manager,"SEM, SEO, Brand Strategy, PPC, Social Media Management, Google Analytics, Conversion Optimization, Content Marketing, Email Marketing, Copywriting, Google Ads",Other
Digital Marketing Manager,"Conversion Optimization, Google Analytics, SEM, PPC, Social Media Management, Google Ads, Copywriting, Email Marketing, Content Marketing, Brand Strategy, SEO",Other
Digital Marketing Manager,"Conversion Optimization, Social Media Management, Google Analytics, SEM, Email Marketing, Copywriting, Content Marketing, SEO, Google Ads, Brand Strategy, PPC",Other
Digital Marketing Manager,"SEM, Conversion Optimization, Email Marketing, Social Media Management, Copywriting, Google Ads, Brand Strategy, PPC, Google Analytics, Content Marketing, SEO",Other
Digital Marketing Manager,"Brand Strategy, SEM, Email Marketing, Social Media Management, Conversion Optimization, Google Ads, Copywriting, PPC, Google Analytics, Content Marketing, SEO",Other
Content Writer,"Research, SEO Writing, Copywriting, Editing, Keyword Research, Content Strategy, Blogging, Storytelling, Proofreading, Social Media Writing",Marketing & Content
Content Writer,"Storytelling, Proofreading, Keyword Research, SEO Writing, Blogging, Social Media Writing, Research, Content Strategy, Editing, Copywriting",Marketing & Content
Content Writer,"Blogging, Editing, Keyword Research, Copywriting, Storytelling, Social Media Writing, Content Strategy, Research, SEO Writing, Proofreading",Marketing & Content
Content Writer,"Copywriting, Proofreading, Keyword Research, Editing, Blogging, Storytelling, Content Strategy, SEO Writing, Social Media Writing, Research",Marketing & Content
Content Writer,"Proofreading, Keyword Research, Copywriting, Blogging, Storytelling, Research, Social Media Writing, Editing, Content Strategy, SEO Writing",Marketing & Content
Social Media Manager,"Instagram Marketing, Branding, Facebook Ads, Analytics, Community Management, Engagement Metrics, Hashtag Strategy, Influencer Marketing, Crisis Management, Content Creation",Other
Social Media Manager,"Influencer Marketing, Engagement Metrics, Content Creation, Community Management, Branding, Hashtag Strategy, Instagram Marketing, Crisis Management, Facebook Ads, Analytics",Other
Social Media Manager,"Analytics, Facebook Ads, Engagement Metrics, Content Creation, Instagram Marketing, Community Management, Crisis Management, Influencer Marketing, Branding, Hashtag Strategy",Other
Social Media Manager,"Instagram Marketing, Crisis Management, Influencer Marketing, Engagement Metrics, Community Management, Analytics, Hashtag Strategy, Content Creation, Facebook Ads, Branding",Other
Social Media Manager,"Facebook Ads, Crisis Management, Content Creation, Community Management, Influencer Marketing, Engagement Metrics, Analytics, Instagram Marketing, Branding, Hashtag Strategy",Other
Social Media Manager,"Hashtag Strategy, Engagement Metrics, Facebook Ads, Content Creation, Branding, Instagram Marketing, Crisis Management, Community Management, Analytics, Influencer Marketing",Other
Social Media Manager,"Hashtag Strategy, Influencer Marketing, Facebook Ads, Crisis Management, Engagement Metrics, Analytics, Community Management, Content Creation, Instagram Marketing, Branding",Other
Social Media Manager,"Instagram Marketing, Content Creation, Analytics, Facebook Ads, Branding, Community Management, Hashtag Strategy, Engagement Metrics, Crisis Management, Influencer Marketing",Other
Social Media Manager,"Branding, Analytics, Facebook Ads, Engagement Metrics, Instagram Marketing, Influencer Marketing, Hashtag Strategy, Community Management, Crisis Management, Content Creation",Other
Graphic Designer,"Branding, Photoshop, Typography, Vector Graphics, Illustrator, Layout Design, Color Theory, InDesign, UI/UX Design, Animation",Design & UX
Graphic Designer,"Typography, InDesign, Branding, Color Theory, Animation, UI/UX Design, Photoshop, Illustrator, Vector Graphics, Layout Design",Design & UX
Graphic Designer,"Layout Design, Color Theory, UI/UX Design, Typography, Photoshop, InDesign, Vector Graphics, Illustrator, Branding, Animation",Design & UX
Graphic Designer,"Photoshop, Layout Design, Color Theory, Typography, Branding, UI/UX Design, Animation, Illustrator, Vector Graphics, InDesign",Design & UX
Graphic Designer,"Typography, Animation, UI/UX Design, Vector Graphics, Photoshop, Layout Design, Illustrator, Color Theory, InDesign, Branding",Design & UX
Graphic Designer,"Layout Design, Color Theory, Typography, Illustrator, Vector Graphics, InDesign, UI/UX Design, Branding, Animation, Photoshop",Design & UX
Graphic Designer,"Layout Design, Vector Graphics, Illustrator, Photoshop, Animation, UI/UX Design, Typography, Color Theory, Branding, InDesign",Design & UX
Graphic Designer,"Layout Design, Animation, UI/UX Design, Color Theory, InDesign, Branding, Vector Graphics, Photoshop, Illustrator, Typography",Design & UX
Game Developer,"Unreal Engine, Multiplayer Networking, C++, AI for Games, 3D Modeling, Shader Programming, Game Monetization, Unity, Storytelling, Game Physics",Other
Game Developer,"Shader Programming, 3D Modeling, Multiplayer Networking, AI for Games, Unreal Engine, Game Monetization, Storytelling, Game Physics, Unity, C++",Other
Game Developer,"Unreal Engine, 3D Modeling, Unity, Storytelling, AI for Games, Multiplayer Networking, Game Physics, Shader Programming, C++, Game Monetization",Other
Game Developer,"Game Monetization, AI for Games, Unreal Engine, Multiplayer Networking, C++, Game Physics, 3D Modeling, Shader Programming, Unity, Storytelling",Other
Game Developer,"Unreal Engine, Game Physics, Shader Programming, Multiplayer Networking, AI for Games, C++, 3D Modeling, Game Monetization, Storytelling, Unity",Other
Game Developer,"Multiplayer Networking, C++, Game Monetization, Storytelling, Unity, 3D Modeling, AI for Games, Shader Programming, Game Physics, Unreal Engine",Other
Game Developer,"Game Monetization, Unity, AI for Games, Shader Programming, Game Physics, Multiplayer Networking, Unreal Engine, C++, 3D Modeling, Storytelling",Other
Embedded Systems Engineer,"C++, C, Embedded Linux, IoT, Microcontrollers, PCB Design, RTOS, Circuit Debugging, Power Management, Wireless Protocols, Assembly Language",Other
Embedded Systems Engineer,"C++, Power Management, IoT, Circuit Debugging, Embedded Linux, PCB Design, Microcontrollers, Wireless Protocols, C, Assembly Language, RTOS",Other
Embedded Systems Engineer,"C++, PCB Design, Embedded Linux, RTOS, IoT, C, Microcontrollers, Wireless Protocols, Circuit Debugging, Assembly Language, Power Management",Other
Embedded Systems Engineer,"Power Management, Embedded Linux, Circuit Debugging, IoT, Microcontrollers, Assembly Language, PCB Design, C, C++, Wireless Protocols, RTOS",Other
Embedded Systems Engineer,"Power Management, Embedded Linux, Circuit Debugging, RTOS, PCB Design, Assembly Language, C, IoT, Microcontrollers, Wireless Protocols, C++",Other
Full Stack Developer,"MongoDB, Node.js, GraphQL, React, REST APIs, Responsive Design, Web Security, JavaScript, Git, TypeScript, Express.js",Other
Full Stack Developer,"REST APIs, JavaScript, React, TypeScript, GraphQL, Express.js, Web Security, Git, MongoDB, Node.js, Responsive Design",Other
Full Stack Developer,"Responsive Design, JavaScript, Git, REST APIs, Node.js, GraphQL, Web Security, Express.js, MongoDB, TypeScript, React",Other
Full Stack Developer,"JavaScript, MongoDB, TypeScript, React, Node.js, REST APIs, GraphQL, Git, Responsive Design, Web Security, Express.js",Other
Full Stack Developer,"Web Security, Node.js, TypeScript, GraphQL, REST APIs, React, Express.js, Git, Responsive Design, MongoDB, JavaScript",Other
Full Stack Developer,"Express.js, REST APIs, MongoDB, React, JavaScript, TypeScript, Git, Node.js, GraphQL, Responsive Design, Web Security",Other
Full Stack Developer,"Node.js, Web Security, React, Express.js, GraphQL, Responsive Design, Git, MongoDB, REST APIs, JavaScript, TypeScript",Other
Full Stack Developer,"MongoDB, React, GraphQL, REST APIs, Node.js, TypeScript, JavaScript, Git, Web Security, Responsive Design, Express.js",Other
Mobile App Developer,"Firebase, React Native, Flutter, Performance Optimization, Swift, Testing & Debugging, API Integration, UI/UX Design, Kotlin, App Store Deployment",Software Development
Mobile App Developer,"Kotlin, Flutter, Testing & Debugging, UI/UX Design, API Integration, React Native, Firebase, Performance Optimization, App Store Deployment, Swift",Software Development
Mobile App Developer,"Firebase, Testing & Debugging, React Native, Kotlin, API Integration, UI/UX Design, App Store Deployment, Flutter, Performance Optimization, Swift",Software Development
Mobile App Developer,"React Native, Performance Optimization, Flutter, API Integration, Kotlin, App Store Deployment, Swift, Firebase, UI/UX Design, Testing & Debugging",Software Development
Mobile App Developer,"UI/UX Design, Swift, React Native, Testing & Debugging, Firebase, Flutter, API Integration, Performance Optimization, Kotlin, App Store Deployment",Software Development
Mobile App Developer,"React Native, Performance Optimization, Flutter, Swift, App Store Deployment, API Integration, Kotlin, Firebase, Testing & Debugging, UI/UX Design",Software Development
Mobile App Developer,"Kotlin, App Store Deployment, Flutter, Performance Optimization, UI/UX Design, Testing & Debugging, React Native, API Integration, Firebase, Swift",Software Development
Mobile App Developer,"API Integration, Performance Optimization, App Store Deployment, UI/UX Design, Swift, Testing & Debugging, Firebase, Flutter, React Native, Kotlin",Software Development
Systems Administrator,"Shell Scripting, Active Directory, Virtualization, Linux, Monitoring Tools, Network Security, Windows Server, IT Automation, Backup & Recovery, Cloud Services",Other
Systems Administrator,"Active Directory, Linux, Backup & Recovery, Network Security, Shell Scripting, Virtualization, Monitoring Tools, Cloud Services, IT Automation, Windows Server",Other
Systems Administrator,"Cloud Services, Virtualization, Active Directory, Shell Scripting, Linux, IT Automation, Windows Server, Monitoring Tools, Backup & Recovery, Network Security",Other
Systems Administrator,"Shell Scripting, Virtualization, Windows Server, Backup & Recovery, Cloud Services, Linux, Monitoring Tools, Network Security, Active Directory, IT Automation",Other
Systems Administrator,"Shell Scripting, Cloud Services, Virtualization, Network Security, Backup & Recovery, Linux, Monitoring Tools, Active Directory, Windows Server, IT Automation",Other
